DATE,PersonIncome
1/1/29,700
1/1/30,621
1/1/31,529
1/1/32,403
1/1/33,376
1/1/34,428
1/1/35,478
1/1/36,540
1/1/37,579
1/1/38,532
1/1/39,562
1/1/40,601
1/1/41,734
1/1/42,940
1/1/43,1142
1/1/44,1226
1/1/45,1256
1/1/46,1291
1/1/47,1349
1/1/48,1456
1/1/49,1415
1/1/50,1541
1/1/51,1713
1/1/52,1800
1/1/53,1875
1/1/54,1861
1/1/55,1961
1/1/56,2068
1/1/57,2149
1/1/58,2176
1/1/59,2274
1/1/60,2335
1/1/61,2398
1/1/62,2513
1/1/63,2603
1/1/64,2752
1/1/65,2936
1/1/66,3155
1/1/67,3350
1/1/68,3641
1/1/69,3948
1/1/70,4218
1/1/71,4491
1/1/72,4880
1/1/73,5383
1/1/74,5852
1/1/75,6340
1/1/76,6890
1/1/77,7532
1/1/78,8371
1/1/79,9252
1/1/80,10204
1/1/81,11326
1/1/82,12021
1/1/83,12721
1/1/84,13929
1/1/85,14779
1/1/86,15510
1/1/87,16313
1/1/88,17479
1/1/89,18698
1/1/90,19641
1/1/91,20056
1/1/92,21099
1/1/93,21738
1/1/94,22574
1/1/95,23600
1/1/96,24762
1/1/97,25984
1/1/98,27545
1/1/99,28665
1/1/00,30651
1/1/01,31599
1/1/02,31814
1/1/03,32683
1/1/04,34250
1/1/05,35828
1/1/06,38099
1/1/07,39846
1/1/08,40971
1/1/09,39319
1/1/10,40649
1/1/11,42714
1/1/12,44529
1/1/13,44761
1/1/14,46860
1/1/15,48695
1/1/16,49589
1/1/17,51520
1/1/18,53784
1/1/19,56237
1/1/20,59774
1/1/21,64073
1/1/22,65280
