President,Date,Approve,Disapprove,Inaug,Days
Trump,12/12/2017,36,59,1/20/2017,326
Trump,12/9/2017,36,59,1/20/2017,323
Trump,12/6/2017,37,59,1/20/2017,320
Trump,12/3/2017,35,60,1/20/2017,317
Trump,11/30/2017,34,60,1/20/2017,314
Trump,11/27/2017,37,56,1/20/2017,311
Trump,11/24/2017,38,55,1/20/2017,308
Trump,11/20/2017,36,57,1/20/2017,304
Trump,11/17/2017,39,56,1/20/2017,301
Trump,11/14/2017,37,57,1/20/2017,298
Trump,11/11/2017,39,55,1/20/2017,295
Trump,11/8/2017,37,57,1/20/2017,292
Trump,11/5/2017,37,57,1/20/2017,289
Trump,11/2/2017,39,57,1/20/2017,286
Trump,10/30/2017,34,62,1/20/2017,283
Trump,10/27/2017,36,59,1/20/2017,280
Trump,10/24/2017,36,59,1/20/2017,277
Trump,10/21/2017,36,58,1/20/2017,274
Trump,10/18/2017,36,59,1/20/2017,271
Trump,10/15/2017,36,59,1/20/2017,268
Trump,10/12/2017,39,54,1/20/2017,265
Trump,10/9/2017,36,58,1/20/2017,262
Trump,10/6/2017,39,56,1/20/2017,259
Trump,10/3/2017,39,57,1/20/2017,256
Trump,9/30/2017,38,57,1/20/2017,253
Trump,9/27/2017,36,59,1/20/2017,250
Trump,9/24/2017,39,54,1/20/2017,247
Trump,9/21/2017,38,56,1/20/2017,244
Trump,9/18/2017,39,55,1/20/2017,241
Trump,9/15/2017,36,59,1/20/2017,238
Trump,9/12/2017,37,57,1/20/2017,235
Trump,9/9/2017,38,56,1/20/2017,232
Trump,9/6/2017,36,57,1/20/2017,229
Trump,9/3/2017,38,56,1/20/2017,226
Trump,8/31/2017,34,61,1/20/2017,223
Trump,8/28/2017,35,60,1/20/2017,220
Trump,8/25/2017,35,60,1/20/2017,217
Trump,8/22/2017,35,59,1/20/2017,214
Trump,8/19/2017,36,58,1/20/2017,211
Trump,8/16/2017,37,57,1/20/2017,208
Trump,8/13/2017,34,61,1/20/2017,205
Trump,8/10/2017,37,56,1/20/2017,202
Trump,8/7/2017,37,59,1/20/2017,199
Trump,8/4/2017,37,55,1/20/2017,196
Trump,8/1/2017,36,60,1/20/2017,193
Trump,7/29/2017,38,57,1/20/2017,190
Trump,7/26/2017,39,55,1/20/2017,187
Trump,7/23/2017,37,58,1/20/2017,184
Trump,7/20/2017,37,58,1/20/2017,181
Trump,7/17/2017,38,56,1/20/2017,178
Trump,7/14/2017,38,57,1/20/2017,175
Trump,7/10/2017,40,55,1/20/2017,171
Trump,7/7/2017,38,56,1/20/2017,168
Trump,7/3/2017,37,57,1/20/2017,164
Trump,6/30/2017,38,57,1/20/2017,161
Trump,6/27/2017,39,56,1/20/2017,158
Trump,6/24/2017,38,57,1/20/2017,155
Trump,6/21/2017,39,56,1/20/2017,152
Trump,6/18/2017,38,56,1/20/2017,149
Trump,6/15/2017,38,57,1/20/2017,146
Trump,6/12/2017,36,60,1/20/2017,143
Trump,6/9/2017,39,56,1/20/2017,140
Trump,6/6/2017,38,57,1/20/2017,137
Trump,6/3/2017,36,58,1/20/2017,134
Trump,5/31/2017,40,54,1/20/2017,131
Trump,5/28/2017,42,53,1/20/2017,128
Trump,5/25/2017,41,54,1/20/2017,125
Trump,5/22/2017,38,56,1/20/2017,122
Trump,5/19/2017,37,56,1/20/2017,119
Trump,5/16/2017,38,57,1/20/2017,116
Trump,5/13/2017,39,56,1/20/2017,113
Trump,5/10/2017,38,55,1/20/2017,110
Trump,5/7/2017,42,53,1/20/2017,107
Trump,5/4/2017,42,52,1/20/2017,104
